video_path,clase,num_vineta,start_frame,end_frame,kp_path,split
data/videos/original/Historias vinetas (2).mp4,vineta_002,2,0,30,,train
data/videos/original/Historias vinetas (2).mp4,vineta_002,2,15,45,,train
data/videos/original/Historias vinetas (2).mp4,vineta_002,2,30,60,,train
data/videos/original/Historias vinetas (2).mp4,vineta_002,2,45,75,,train
data/videos/original/Historias vinetas (2).mp4,vineta_002,2,60,90,,train
data/videos/original/Historias vinetas (2).mp4,vineta_002,2,75,105,,train
data/videos/original/Historias vinetas (2).mp4,vineta_002,2,90,120,,train
data/videos/original/Historias vinetas (2).mp4,vineta_002,2,105,135,,train
data/videos/original/Historias vinetas (2).mp4,vineta_002,2,120,150,,train
data/videos/original/Historias vinetas (2).mp4,vineta_002,2,135,165,,train
data/videos/original/Historias vinetas (2).mp4,vineta_002,2,150,180,,train
data/videos/original/Historias vinetas (2).mp4,vineta_002,2,165,195,,train
data/videos/original/Historias vinetas (2).mp4,vineta_002,2,180,210,,train
data/videos/original/Historias vinetas (2).mp4,vineta_002,2,195,225,,train
data/videos/original/Historias vinetas (2).mp4,vineta_002,2,210,240,,train
data/videos/original/Historias vinetas (2).mp4,vineta_002,2,225,255,,train
data/videos/original/Historias vinetas (2).mp4,vineta_002,2,240,270,,train
data/videos/original/Historias vinetas (2).mp4,vineta_002,2,255,285,,train
data/videos/original/Historias vinetas (2).mp4,vineta_002,2,270,300,,train
data/videos/original/Historias vinetas (2).mp4,vineta_002,2,285,315,,train
data/videos/original/Historias vinetas (2).mp4,vineta_002,2,300,330,,train
data/videos/original/Historias vinetas (2).mp4,vineta_002,2,315,345,,train
data/videos/original/Historias vinetas (2).mp4,vineta_002,2,330,360,,train
data/videos/original/Historias vinetas (2).mp4,vineta_002,2,345,375,,train
data/videos/original/Historias vinetas (2).mp4,vineta_002,2,360,390,,train
data/videos/original/Historias vinetas (2).mp4,vineta_002,2,375,405,,train
data/videos/original/Historias vinetas (2).mp4,vineta_002,2,390,420,,train
data/videos/original/Historias vinetas (2).mp4,vineta_002,2,405,435,,train
data/videos/original/Historias vinetas (2).mp4,vineta_002,2,420,450,,train
data/videos/original/Historias vinetas (2).mp4,vineta_002,2,435,465,,train
data/videos/original/Historias vinetas (2).mp4,vineta_002,2,450,480,,train
data/videos/original/Historias vinetas (2).mp4,vineta_002,2,465,495,,train
data/videos/original/Historias vinetas (2).mp4,vineta_002,2,480,510,,train
data/videos/original/Historias vinetas (2).mp4,vineta_002,2,495,525,,train
data/videos/original/Historias vinetas (2).mp4,vineta_002,2,510,540,,train
data/videos/original/Historias vinetas (2).mp4,vineta_002,2,525,555,,train
data/videos/original/Historias vinetas (2).mp4,vineta_002,2,540,570,,train
data/videos/original/Historias vinetas (2).mp4,vineta_002,2,555,585,,train
data/videos/original/Historias vinetas (2).mp4,vineta_002,2,570,600,,train
data/videos/original/Historias vinetas (2).mp4,vineta_002,2,585,615,,train
data/videos/original/Historias vinetas (2).mp4,vineta_002,2,600,630,,train
data/videos/original/Historias vinetas (2).mp4,vineta_002,2,615,645,,train
data/videos/original/Historias vinetas (2).mp4,vineta_002,2,630,660,,train
data/videos/original/Historias vinetas (2).mp4,vineta_002,2,645,675,,train
data/videos/original/Historias vinetas (2).mp4,vineta_002,2,660,690,,train
data/videos/original/Historias vinetas (2).mp4,vineta_002,2,675,705,,train
data/videos/original/Historias vinetas (2).mp4,vineta_002,2,690,720,,train
data/videos/original/Historias vinetas (2).mp4,vineta_002,2,705,735,,train
data/videos/original/Historias vinetas (2).mp4,vineta_002,2,720,750,,train
data/videos/original/Historias vinetas (2).mp4,vineta_002,2,735,765,,train
data/videos/original/Historias vinetas (2).mp4,vineta_002,2,750,780,,train
data/videos/original/Historias vinetas (2).mp4,vineta_002,2,765,795,,train
data/videos/original/Historias vinetas (2).mp4,vineta_002,2,780,810,,train
data/videos/original/Historias vinetas (2).mp4,vineta_002,2,795,825,,train
data/videos/original/Historias vinetas (2).mp4,vineta_002,2,810,840,,train
data/videos/original/Historias vinetas (2).mp4,vineta_002,2,825,855,,train
data/videos/original/Historias vinetas (2).mp4,vineta_002,2,840,870,,train
data/videos/original/Historias vinetas (2).mp4,vineta_002,2,855,885,,train
data/videos/original/Historias vinetas (2).mp4,vineta_002,2,870,900,,train
data/videos/original/Historias vinetas (2).mp4,vineta_002,2,885,915,,train
data/videos/original/Historias vinetas (2).mp4,vineta_002,2,900,930,,train
data/videos/original/Historias vinetas (2).mp4,vineta_002,2,915,945,,train
data/videos/original/Historias vinetas (2).mp4,vineta_002,2,930,960,,train
data/videos/original/Historias vinetas (2).mp4,vineta_002,2,945,975,,train
data/videos/original/Historias vinetas (2).mp4,vineta_002,2,960,990,,train
data/videos/original/Historias vinetas (2).mp4,vineta_002,2,975,1005,,train
data/videos/original/Historias vinetas (2).mp4,vineta_002,2,990,1020,,train
